name,TempK,Sigma,SMILES
pentyl cyclopropane,343,24.01,CCCCCC1CC1
4-heptanone O-ethyloxime,333,20.73,CCCC(=NOCC)CCC
"1,4-oxathiane",333,37.41,C1CSCCO1
propyl nicotinate,333,32.2,CCCOC(=O)C1=CN=CC=C1
butyl methyl sulfide,343,21.03,CCCCSC
butyl isonicotinate,293,34.77,CCCCOC(=O)C1=CC=NC=C1
isopropyl hydrocinnamate,288,33.57,CC(C)OC(=O)CCc1ccccc1
1-bromohexane,313,25.94,CCCCCCBr
pentyl fumarate,353,25.6,CCCCCOC(=O)C=CC(=O)O
1-bromohexadecane,283,32.15,CCCCCCCCCCCCCCCCBr
3-pentanone O-ethyloxime,333,19.75,CCC(=NOCC)CC
pentyl 2-naphthaleneacetate,333,33.7,CCCCCOC(=O)CC1=CC2=CC=CC=C2C=C1
"2,4,6-trinitrotoluene",373,45.09,CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
3-methoxyazobenzene,333,40.12,COC1=CC=C(C=C1)N=NC2=CC=CC=C2Ê[
m-dichlorobenzene,413,22.24,C1=CC(=CC(=C1)Cl)Cl
"N,N-diethylaniline",343,29.31,CCN(CC)C1=CC=CC=C1
3-(diethylamino)-propionitrile,343,25.42,CCN(CC)CCC#N
4-methyl-2-pentanol,338,19.33,CC(C)CC(C)O
"2,6-dimethyl-pyridine",333,26.96,CC1=NC(=CC=C1)C
butyl decanoate,373,21.51,CCCCCCCCCC(=O)OCCCC
"hexachloro-1,3-butadiene",293,36,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl
cyclopentanol,363,25.94,C1CCC(C1)O
methyl 3-butoxypropionate,293,28.27,CCCCOCCC(=O)OC
diethyl O-heptanoyl-l-malate,363,23.89,CCCCCCCC(=O)OC(C(=O)OCC)C(O)C(=O)OCC
isobutyl methyl sulfide,313,23.05,CC(C)CSC
cyclopentanol,293,33.02,C1CCC(C1)O
decanenitrile,288,29.89,CCCCCCCCCC#N
3-(butylamino)-propionitrile,313,29.15,CCCCNCCC#N
1-hexadecene,313,26.03,CCCCCCCCCCCCCCC=C
4-heptanone,308,24.4,CCCC(=O)CCC
dihexyloxymethane,288,27.44,CCCCCCOCOCCCCCC
4-ethyl-pyridine,333,30.86,CCC1=CC=NC=C1
3-hexanone oxime,353,23.26,CCC/C(=N\O)/CC
N-nitrosodimethylamine,363,25.92,CN(C)N=O
n-butylaniline,333,30.42,CCCCNC1=CC=CC=C1
thymol,358,26.97,CC1=CC(=C(C=C1)C(C)C)O
iodobenzene,363,31.41,C1=CC=C(C=C1)I
3-butoxypropionitrile,288,30.33,CCCCOCCC#N
tert-pentylamine,293,20.34,CCC(C)(C)N
2-octanol,283,27.14,CCCCCCC(C)O
allyl butyrate,343,20.94,CCCC(=O)OCC=C
dipentyl chlorofumarate,353,24.98,CCCCCOC(=O)/C=C(/C(=O)OCCCCC)\Cl
ethyl propyl ether,288,20.34,CCCOCC
1-bromotetradecane,363,25.03,CCCCCCCCCCCCCCBr
butyl methyl sulfide,303,25.19,CCCCSC
isobutyl sulfide,293,24.91,CC(C)CSCC(C)C
trans-hexahydro-2-indanone,283,35.96,C1CCC2CC(=O)CC2C1
resorcinol,373,47.6,C1=CC(=CC(=C1)O)O
1-propane sulfonyl chloride,303,36.9,CCCS(=O)(=O)Cl
"3-ethyl-2,2-dimethylpentane",298,21.92,CCC(CC)C(C)(C)C
dibutyl methylmalonate,373,21.6,CCCCOC(=O)C(C)C(=O)OCCCC
iodoacetic acid,393,34.54,C(C(=O)O)I
1-pentanethiol,333,22.44,CCCCCS
diethyl ethyl phosphonate,358,22.34,CCOP(=O)(OCC)CC
"3,3-dimethylpentane",333,15.62,CCC(C)(C)CC
"methyl 3-methyl-2-cyclopropene-1,2-dicarboxylate",323,34.51,COC(=O)C1C=C1C(=O)OC
bis(2-hexoxyethyl)phosphonate,293,31.18,CCCCCCOCCOP(=O)OCCOCCCCCC
isopentyl butyrate,283,26.4,CCCC(=O)OCCC(C)C
1-chlorohexane,343,21.05,CCCCCCCl
propyl dichloroacetate,303,29.67,CCCOC(=O)C(Cl)Cl
ethyl 3-butoxypropionate,313,25.44,CCCCOCCC(=O)OCC
(2-iodoethyl)-benzene,413,27.9,C1=CC=C(C=C1)CCI
azine of anisaldehyde,454.5,30.38,COc1ccc(C=NN=Cc2ccc(OC)cc2)cc1
lactamide,383,41.72,CC(C(=O)N)O
1-pentyl formate,343,20.93,CCCCCOC=O
diethyl oxalate,363,24.25,CCOC(=O)C(=O)OCC
2-methylthiophene,333,25.71,CC1=CC=CS1
glycerol trihexanoate,423,22.5,CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC
isopropyl hydrocinnamate,303,32.12,CC(C)OC(=O)CCc1ccccc1
p-iodotoluene,323,34.4,CC1=CC=C(C=C1)I
methyl dodecanoate,363,23.34,CCCCCCCCCCCC(=O)OC
2-ethoxyethanol,333,25.21,CCOCCO
Cyclohexene,293,26.78,C1CCC=CC1
trans-2-pentene,283,17.9,CCC=CC
1-chloro-octane,303,26.76,CCCCCCCCCl
3-methylcyclopentanol,283,28.94,CC1CCC(C1)O
diethyl O-heptanoyl-l-malate,303,28.99,CCCCCCCC(=O)OC(C(=O)OCC)C(O)C(=O)OCC
phenyl acetonitrile,343,36.48,C1=CC=C(C=C1)CC#N
propyl crotonate,343,22.56,CCCOC(=O)C=CC
"3,3-diethylpentane",293,23.75,CCC(CC)(CC)CC
"methyl 3,3-diethylglutarate",348,26.84,CCCC(CC(=O)OC)C(C)(C)C(=O)OC
2-nitroresorcinol,453,29.67,C1=CC(=C(C(=C1)O)[N+](=O)[O-])O
heptadecane,373,21.55,CCCCCCCCCCCCCCCCC
1-dodecene,283,26.49,CCCCCCCCCCC=C
tetramethylene nitrate,318,40.8,C(CCO[N+](=O)[O-])CO[N+](=O)[O-]
propyl iodoacetate,343,29.1,CCCOC(=O)CI
hexyl formate,363,20.1,CCCCCCOC=O
3-decanone,313,26.05,CCCCCCCC(=O)CC
butyl 1-naphthyl ketone,293,39.31,CCCCC(=O)c1cccc2ccccc12
"N,N-dimethylaniline",333,31.85,CN(C)C1=CC=CC=C1
butyric acid,343,21.91,CCCC(=O)O
allylamine,293,24.92,C=CCN
methyl carbamate,333,38.34,COC(=O)N
diethyl O-decanoyl-l-malate,353,24.98,CCCCCCCCCC(=O)OCC(=O)OCC
3-methyl-1-butanethiol,353,19.6,CC(C)CCS
"methyl-1,1-cyclopropanecarboxylic acid",293,36.41,CC1(CC1)C(=O)O
2-iodobutane,343,22.95,CCC(C)I
"methyl trans-hexahydro-2,2-indandiacetate",328,32.41,CC12CCCCC1CC(C(=O)OC)C2C(=O)O
p-anisaldehyde,423,28.98,COC1=CC=C(C=C1)C=O
"p-menttha-6,8-dien-2-one",333,31.02,CC1=CCC(CC1=O)C(=C)C
dicyclohexylamine,363,26.94,C1CCC(CC1)NC2CCCCC2
"N,N-dimethylaniline",303,34.99,CN(C)C1=CC=CC=C1
2-nonanone,323,24.01,CCCCCCCC(=O)C
propyl mesaconate,333,27.12,CCCC(=O)C=C(C)C(=O)O
glycerol trioctanoate,383,24.52,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
triphenylphosphine,358,37.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3
1-vinylnaphthalene,383,34.11,C=CC1=CC=CC2=CC=CC=C21
tripropyl orthophosphate,333,25.5,CCCOP(=O)(OCCC)OCCC
dimethylamine,293,26.97,CNC
"1,1-Dichloro-2-propanone",293,31.91,CC(=O)C(Cl)Cl
cyclohexylamine,333,27.06,C1CCC(CC1)N
1-bromotetradecane,293,31.17,CCCCCCCCCCCCCCBr
Acetic anhydride,293,32.65,CC(=O)OC(=O)C
phenyl ether,343,23.24,C1=CC=C(C=C1)OC2=CC=CC=C2
2-pentanol,333,19.94,CCCC(C)O
biphenyl,473,22.91,C1=CC=C(C=C1)C2=CC=CC=C2
nitrobenzene,413,30.14,C1=CC=C(C=C1)[N+](=O)[O-]
3-methyl-1-butanethiol,293,25.6,CC(C)CCS
9-cycloheptadecen-1-one,373,29.28,C1CCCC=CCCCCCCCC(=O)CCC1
diheptyl oxalate,313,29.81,CCCCCCCOC(=O)C(=O)OCCCCCCC
linalool,313,25,CC(=CCCC(C)(C=C)O)C
2-furaldehyde,363,34.47,C1=COC(=C1)C=O
1-butoxy-1-tert-butoxyethane,293,22.65,CCCCOC(C)OC(C)(C)C
dipentyl malate,283,29.37,CCCCCOC(=O)CC(C(=O)OCCCCC)O
glycerol triformate,353,40.98,C(C(COC=O)OC=O)OC=O
diethyl pentylmalonate,353,23.44,CCCCCC(C(=O)OCC)C(=O)OCC
propyl cyclobutane,343,23.92,CCCC1CCC1
triisopentylamine,363,18.61,CC(C)CCN(CCC(C)C)CCC(C)C
1-fluoroheptane,323,19.74,CCCCCCCF
"1,5-dibromopentane",333,36.02,C(CCBr)CCBr
tripentylamine,288,26.67,CCCCCN(CCCCC)CCCCC
butyl phenyl sulfide,303,33.52,CCCCSC1=CC=CC=C1
"4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-butanol",303,30.81,CC1=CCCC(C1CCC(C)O)(C)C
butyl 3-hexyloxypropionate,333,24.51,CCCCCCOCCC(=O)OCCCC
Methyl thiosulfite,293,32.76,COS(=S)[O-]
butyl 3-butoxypropionate,313,25.19,CCCCOCCC(=O)OCCCC
1-fluoroheptane,373,14.6,CCCCCCCF
methylcyclohexane,283,24.98,CC1CCCCC1
hexyl sulfide,293,28.41,CCCCCCSCCCCCC
"dipropyl-1,1-cyclopropanecarboxylic acid",293,30.99,CCCC1C(C1C(=O)OCC)CCC
methyl hexanoate,363,19.06,CCCCCC(=O)OC
Methyl Palmitate,333,26.85,CCCCCCCCCCCCCCCC(=O)OC
isopentyl disulfide,293,28.46,CC(C)CCSSCCC(C)C
2-iodobutane,353,21.87,CCC(C)I
isobutyl butyrate,323,20.25,CCCC(=O)OCC(C)C
"4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanol",293,31.68,CC1=C(C(CCC1)(C)C)CCC(C)O
heptyl sulfide,293,29.32,CCCCCCCSCCCCCCC
phenyl acetonitrile,363,34.17,C1=CC=C(C=C1)CC#N
1-decene,298,23.54,CCCCCCCCC=C
propylene nitrate,298,44.8,CC(CO[N+](=O)[O-])O[N+](=O)[O-]
butyl sulfite,353,23.42,CCCCOS(=O)OCCCC
p-chloroaniline,413,33.42,C1=CC(=CC=C1N)Cl
3-ethylheptane,313,20.95,CCCCC(CC)CC
Ethyl 2-cyano-3-propyl-2-pentenoate,348,26.65,CCCC(=C(C#N)C(=O)OCC)CC
propyl phenylacetate,333,30.24,CCCOC(=O)CC1=CC=CC=C1
glycerol trioctanoate,403,23.48,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
propionamide,358,31.32,CCC(=O)N
dihexylamine,333,23.87,CCCCCCNCCCCCC
1-chlorohexane,293,26.24,CCCCCCCl
ethyl pentyl carbonate,288,27.51,CCCCCOC(=O)OCC
"trans-1,2-dimethylcyclohexane",313,22.16,CC1CCCCC1C
isopropyl acetate,283,23.37,CC(C)OC(=O)C
glycerol trielaidate,393,18.8,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
hexanenitrile,363,21.48,CCCCCC#N
"2,7-dimethyloctane",303,21.6,CC(C)CCCCC(C)C
butyl dichloroacetate,313,28.5,CCCCOC(=O)C(Cl)Cl
"2,3-dimethylhexane",323,18.26,CCCC(C)C(C)C
diisopentylamine,303,23.47,CC(C)CCNCCC(C)C
"trans-1,4-dimethylcyclohexane",278,24.47,CC1CCC(CC1)C
4-tert-butyl-pyridine,293,33.58,CC(C)(C)C1=CC=NC=C1
di-sec-butylamine,313,20.7,CCC(C)NC(C)CC
ethyl fumarate,353,25.45,CCOC(=O)C=CC(=O)O
heptamethylene nitrate,273,42,C1CCCC(CC1)O[N+](=O)[O-]
1-chloropropane,283,23.16,CCCCl
acetaldehyde,283,22.54,CC=O
2-octylnaphthalene,358,28.5,CCCCCCCCC1=CC2=CC=CC=C2C=C1
3-ethylpentane,303,19.42,CCC(CC)CC
1-butane sulfonyl chloride,308,33.9,CCCCS(=O)(=O)Cl
triisopentylamine,313,22.7,CC(C)CCN(CCC(C)C)CCC(C)C
quinoline,303,42.06,C1=CC=C2C(=C1)C=CC=N2
3-methylcyclopentene,278,24.43,CC1CCC=C1
"3,6-dichloro-3,6-diethyloctane",318,29.48,CCC(CC)(CCC(CC)(CC)Cl)Cl
levo-1-Phenyl-2-butanol,293,33.95,CCC(CC1=CC=CC=C1)O
"2,3-dimethylpentane",293,19.97,CCC(C)C(C)C
"N,N-dimethyl-m-nitroaniline",368,35.6,CN(C)C1=CC(=CC=C1)[N+](=O)[O-]
1-iodo-3-methylbutane,363,22.14,CC(C)CCI
Butane,293,12.46,CCCC
Butyronitrile,353,21.21,CCCC#N
dibutyl maleate,303,29.86,CCCCOC(=O)C=CC(=O)OCCCC
isovaleraldehyde oxime,293,26.38,CC(C)CC=NO
3-chlorodecane,343,24.19,CCCCCCCC(CC)Cl
hexyl thienyl ketone,358,28.96,CCCCCCC(=O)C1=CC=CS1
Methyl formate,363,14.14,COC=O
dipropyl succinate,373,23.25,CCCOC(=O)CCC(=O)OCCC
"2,6-dibenzyl-m-cresol",293,39.57,CC1=C(CC2=CC=CC=C2)C(=C(C=C1)CC3=CC=CC=C3)O
"4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanol",323,29.07,CC1=C(C(CCC1)(C)C)CCC(C)O
butyl dodecanoate,323,27.4,CCCCCCCCCCCC(=O)OCCCC
"diethyl-1,1-cyclopropanecarboxylic acid",333,27.5,O=C(OCC)C1(C(OCC)=O)CC1
heptyl sulfide,363,23.64,CCCCCCCSCCCCCCC
2-octanol,323,25.91,CCCCCCC(C)O
"ethyl 3,3-dimethylglutarate",318,27.32,CCOC(=O)CC(C)(C)CC(=O)OCC
1-chloropentane,293,24.94,CCCCCCl
pentyl isonicotinate,358,28.45,CCCCCOC(=O)C1=CC=NC=C1
4-methylcyclohexanone,283,31.89,CC1CCC(=O)CC1
propyl orthoformate,348,19.75,CCCOC(OCCC)OCCC
3-ethylhexane,313,19.66,CCCC(CC)CC
cymene,313,25.32,CC1=CC=C(C=C1)C(C)C
bromobenzene,413,21.9,C1=CC=C(C=C1)Br
trans-octahydro-2(III)-nathalenone,373,28.53,C1CCC2CC(=O)CCC2C1
butyl sulfite,293,28.81,CCCCOS(=O)OCCCC
"2,5-dichloro-2,5-dimethylhexane",348,23.59,CC(C)(CCC(C)(C)Cl)Cl
nitromethane,323,32.34,C[N+](=O)[O-]
Butyraldehyde,313,22.97,CCCC=O
methyl 3-butynoate,323,29.16,COC(=O)CC#C
m-fluorotoluene,353,22.25,CC1=CC(=CC=C1)F
dihexyl ethyl phosphonate,358,23.6,CCCCCCOP(CC)OCCCCCC
1-bromo-2-ethoxy-ethane,363,21.82,CCOCCBr
dibutyl maleate,333,27.27,CCCCOC(=O)C=CC(=O)OCCCC
hexyl decanoate,308,27.36,CCCCCCCCCC(=O)OCCCCCC
"1,1-dibutoxyethane",323,21.67,CCCCOC(C)OCCCC
isobutyl disulfide,303,27.1,CC(C)CSSCC(C)C
heptyl 3-ethoxypropionate,293,28.26,CCCCCCCOC(=O)CCOCC
propyl chloroacetate,323,27.49,CCCOC(=O)CCl
alpha-ionone,313,30.3,CC1=CCCC(C1C=CC(=O)C)(C)C
ethyl trichloroacetate,283,31.9,CCOC(=O)C(Cl)(Cl)Cl
1-phenyl-2-butanone,303,35.52,CCC(=O)CC1=CC=CC=C1
piperidine,303,28.33,C1CCNCC1
hexyl 3-propoxypropionate,358,22.44,CCCCCCOC(=O)CCOCCC
diisobutoxymethane,343,18.27,CC(C)COCOCC(C)C
1-undecene,353,19.43,CCCCCCCCCC=C
sec-butyl acetate,343,18.34,CCC(C)OC(=O)C
diethyl O-butyryl-l-malate,313,28.89,C(=O)CCCCC(=O)OCC
"1,1-dipropylhydrazine",313,23.14,CCCN(CCC)N
isobutyl propionate,373,17.31,CCC(=O)OCC(C)C
2-methl-2-butanol,343,18.94,CCC(C)(C)O
Cyclohexene,343,20.67,C1CCC=CC1
Butyl propioate,353,19.43,CCC(=O)OCCCC
1-bromoundecane,303,29.36,CCCCCCCCCCCBr
1-fluorohexane,283,22.41,CCCCCCF
Methyl stearate,303,29.87,CCCCCCCCCCCCCCCCCC(=O)OC
methyl phenylacetate,353,31.12,COC(=O)CC1=CC=CC=C1
eicosane,293,28.87,CCCCCCCCCCCCCCCCCCCC
"1,5-hexadiene",303,17.85,C=CCCC=C
ethyl propyl carbonate,333,22.57,CCCOC(=O)OCC
"ethyl 1,1-cyclohexanediacetate",318,31.1,CCOC(=O)CC1(CCCCC1)CC(=O)OCC
1-bromodecane,353,24.41,CCCCCCCCCCBr
6-dodecanol,323,24.57,CCCCCCC(CCCCC)O
N-Ethyl-N-nitrosoaniline,303,40.16,CCN(C1=CC=CC=C1)N=O
isobutyl ricinoleate,363,26.14,CCCCCCC(CC=CCCCCCCCC(=O)OCC(C)C)O
methylcyclopentane,313,19.98,CC1CCCC1
1-phenyl-2-pentanone,343,29.87,CCCC(=O)CC1=CC=CC=C1
9-cycloheptadecen-1-one,353,31.05,C1CCCC=CCCCCCCCC(=O)CCC1
glycerol triformate,313,45.27,C(C(COC=O)OC=O)OC=O
4-methylvaleric,343,22.66,CC(C)CCC(=O)O
hexyl acetate,333,22.62,CCCCCCOC(=O)C
hexyl methyl ether,323,20.24,CCCCCCOC
2-methyl-1-nitropropane,293,28.37,CC(C)C[N+](=O)[O-]
N-Nitrosodipropylamine,353,25.81,CCCN(CCC)N=O
"4,6-dibenzyl-o-cresol",323,40.77,CC1=CC(=CC(=C1O)CC2=CC=CC=C2)CC3=CC=CC=C3
ethyl crotonate,343,21.85,CCOC(=O)C=CC
propyl 3-pentyloxypropionate,313,25.5,CCCCCOCCC(=O)OCCC
"2-ethyl-2-(hydroxymethyl)-1,3-propanediol heptafluorobutyrate",293,21.2,CCC(CO)(CO)COC(=O)C(C(C(F)(F)F)(F)F)(F)F
1-decene,363,17.57,CCCCCCCCC=C
1-iodo-3-methylbutane,283,29.46,CC(C)CCI
allyl propionate,293,26.35,CCC(=O)OCC=C
DL-1-Phenyl-2-butanol,333,30.31,CCC(CC1=CC=CC=C1)O
ethyl 3-hydroxyatropic acid,373,29.29,CCC=C(C1=CC(=CC=C1)O)C(=O)O
nonane,323,20.05,CCCCCCCCC
3-propoxypropionitrile,323,27.57,CCCOCCC#N
propyl hydrocinnamate,353,28.29,CCCOC(=O)CCC1=CC=CC=C1
dibutyl ethyl phosphonate,313,26.4,CCCCOP(CC)OCCCC
dibutyl succinate,313,28.8,CCCCOC(=O)CCC(=O)OCCCC
3-methyloctane,293,22.34,CCCCCC(C)CC
2-methoxyethanol,343,26.41,COCCO
alpha-bromotoluene,283,33.66,C1=CC=C(C=C1)CBr
hexyl methyl ether,313,21.23,CCCCCCOC
naphthalene,453,22.91,C1=CC=C2C=CC=CC2=C1
dibutyl succinate,323,27.87,CCCCOC(=O)CCC(=O)OCCCC
3-Iodopropene,288,32.38,C=CCI
tripropyl orthophosphate,343,24.6,CCCOP(=O)(OCCC)OCCC
ethyl phenylpropiolate,353,32.96,CCOC(=O)C#CC1=CC=CC=C1
4-chloro-4-methyldecane,318,24.67,CCCCCCC(C)(CCC)Cl
ethyl thiophene-2-carboxylate,333,32.28,CCOC(=O)C1=CC=CS1
2-thiophenecarboxaldehyde,293,49.13,C1=CSC(=C1)C=O
3-ethyl-3-methylpentane,298,21.54,CCC(C)(CC)CC
heptyl 3-methoxypropionate,313,27.24,CCCCCCCOC(=O)CCOC
butyl trichloroacetate,293,30.18,CCCCOC(=O)C(Cl)Cl
N-nitrosodimethylamine,333,28.98,CN(C)N=O
benzonitrile,293,39.37,C1=CC=C(C=C1)C#N
isopropyl sulfite,323,23.44,C(C)COS(=O)OC(C)C
Ethyl Acetate,303,22.81,CCOC(=O)C
levo-4-Phenyl-2-butanol,293,35.73,CC(CCC1=CC=CC=C1)O
diethyl O-nonanoyl-l-malate,323,27.72,CCCCCCCCCC(=O)OC(C(=O)OCC)C(O)C(=O)OCC
N-nitrosodimethylamine,353,26.94,CN(C)N=O
dipropyl adipate,373,34.97,CCCOC(=O)CCCCC(=O)OCCC
1-methyl-4-methylenecyclohexane,293,24.72,CC1CCC(=C)CC1
3-methylcyclopentadecanone,303,33.72,CC1CCCCCCCCCCCCC(=O)C1
nitrobenzene,313,41.71,C1=CC=C(C=C1)[N+](=O)[O-]
methyl 1-naphthaleneacetate,293,45.14,COC(=O)CC1=CC=CC2=CC=CC=C21
1-pentyl sulfide,333,24.29,CCCCCSCCCCC
2-methylcyclohexanol,303,30.14,CC1CCCCC1O
1-chloro-4-iodo-benzene,433,27.49,C1=CC(=CC=C1Cl)I
diisobutyl maleate,343,24.52,CC(C)COC(=O)C=CC(=O)OCC(C)C
trichloroacetic acid,363,27.3,C(=O)(C(Cl)(Cl)Cl)O
dihexylamine,343,22.97,CCCCCCNCCCCCC
propyl mesaconate,323,28.07,CCCC(=O)C=C(C)C(=O)O
cycloheptanol,343,28.56,C1CCCC(CC1)O
"2,3-dimethylpentane",333,15.99,CCC(C)C(C)C
3-(dibutylamino)-propionitrile,343,25,CCCCN(CCCC)CCC#N
bis(2-pentoxyethyl)phosphonate,293,30.94,CCCCCO[CH2]OP(=O)(O[CH2]OCCCCCC)O[CH2]OCCCCCC
diisopentyl maleate,323,26.37,CC(C)CCOC(=O)C=CC(=O)OCCC(C)C
"4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-butanol",293,31.68,CC1=CCCC(C1CCC(C)O)(C)C
fluoronitromethane,293,25.15,C([N+](=O)[O-])F
"ethyl-1,1-cyclopropanecarboxylic acid",333,27.63,CCOC(=O)C1(CC1)
"4,4'-azoxydiphenetole ",437.2,29.2,CCOC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OCC)[O-]
dibutylamine,323,21.74,CCCCNCCCC
bromobenzene,423,20.74,C1=CC=C(C=C1)Br
"4,7-dichloro-4,7-dipropyldecane",318,28.07,CCCC(CCC)(CCC(CCC)(CCC)Cl)Cl
Ethyl 2-cyano-3-ethylvalerate,348,25.9,CCC(CC)C(C#N)C(=O)OCC
3-chloro-3-ethylhexane,308,24.47,CCCC(CC)(CC)Cl
"alpha,alpha-dichlorotoluene",393,28.84,C1=CC=C(C=C1)C(Cl)Cl
ethyl allylmalonate,293,29.65,CCOC(=O)C(CC=C)C(=O)OCC
pentyl 1-naphthyl ketone,313,36.94,CCCCCC(=O)C1=CC=CC2=CC=CC=C21
Ethyl 2-cyano-3-methylbutyrate,298,30.01,CCOC(=O)C(C#N)C(C)C
"2,3,5-trimethylhexane",333,17.72,CC(C)CC(C)C(C)C
1-bromopentane,313,25.31,CCCCCBr
propyl butyrate,373,16.06,CCCC(=O)OCCC
"4,9-dichloro-4,9-dipropyldodecane",328,28.03,CCCC(CCC)(CCCCC(CCC)(CCC)Cl)Cl
3-(pentylamino)-propionitrile,288,30.98,CCCCCNC(C)C#N
butyl ethyl ether,303,19.6,CCCCOCC
butyl phenylpropiolate,303,35.29,CCCCOC(=O)C#CC1=CC=CC=C1
diethyl pentylmalonate,303,27.68,CCCCCC(C(=O)OCC)C(=O)OCC
9-cycloheptadecen-1-one,363,30.17,C1CCCC=CCCCCCCCC(=O)CCC1
iodoethane,303,27.81,CCI
1-pentyl butyrate,353,20.66,CCCCCOC(=O)CCC
butyl ethyl carbonate,353,21.04,CCCCOC(=O)OCC
2-nitropropane ,333,25.22,CC(C)[N+](=O)[O-]
diiodomethane,358,56.5,C(I)I
"ethyl-1,1-cyclopropanecarboxylic acid",343,26.66,CCOC(=O)C1(CC1)
2-chloro-2-methyloctane,308,24.42,CCCCCCC(C)(C)Cl
diethyl O-hexanoyl-l-malate,283,30.75,CCOC(=O)CC(O)C(OC(=O)CCCCCC)C(=O)OCC
aniline,363,35.06,C1=CC=C(C=C1)N
ethyl 3-pentyloxypropionate,358,21.98,CCCCCOCCC(=O)OCC
dipentyl maleate,343,26.5,CCCCCOC(=O)C=CC(=O)OCCCCC
ethyl propyl ether,333,15.6,CCCOCC
p-methoxyphenol,353,38.3,COC1=CC=C(C=C1)O
dimethyl chlorofumarate,363,29.36,COC(=O)C=C(C(=O)OC)Cl
methyl dimethylmalonate,303,29.92,CC(C)(C(=O)[O-])C(=O)OC
propyne,203,24.88,CC#C
2-methyl-1-propanethiol,343,18.89,CC(C)CS
butyl naphthoate,293,38.18,CCCCOC(=O)C1=CC=CC2=CC=CC=C21
isobutyl disulfide,293,27.97,CC(C)CSSCC(C)C
"3,5-xylenol",433,21.18,CC1=CC(=CC(=C1)O)C
acrylonitrile,303,26.05,C=CC#N
"2-propoxy-4-methyl-1,2,3-dioxaphospholane",358,23.44,CCCOP1C(C)COO1
methyl 3-butynoate,293,32.94,COC(=O)CC#C
phenol,413,28.59,C1=CC=C(C=C1)O
"N,N-diethylbenzylamine",313,27.95,CCN(CC)CC1=CC=CC=C1
o-chloroaniline,333,37.26,C1=CC=C(C(=C1)N)Cl
guaiacol,373,31.8,COC1=CC=CC=C1O
methyl 3-ethyl-3-methylglutarate,348,26.59,CCC(C)(CC(=O)OC)CC(=O)O
methyl naphthoate,333,39.9,COC(=O)C1=CC=CC2=CC=CC=C21
p-nitrotoluene,473,22.78,CC1=CC=C(C=C1)[N+](=O)[O-]
1-tridecene,303,25.36,CCCCCCCCCCCC=C
acetone ketazine,288,27.22,CC(=NN=C(C)C)C
propyl 3-propoxypropionate,333,23.46,CCCOCCC(=O)OCCC
dipentyl phosphonate,333,25.3,CCCCCO[P+](=O)OCCCCC
dichloroacetic acid,293,35.9,C(C(=O)O)(Cl)Cl
triisopropyl orthophosphate,333,24.83,CC(C)OP(=O)(OC(C)C)OC(C)C
Ethyl 2-cyano-3-methylhexanoate,348,25.32,CCCC(C)C(C#N)C(=O)OCC
3-chlorodecane,303,27.59,CCCCCCCC(CC)Cl
1-pentanethiol,288,26.83,CCCCCS
isoxazole,293,35.95,C1=CON=C1
m-diethylbenzene,323,26.04,CCC1=CC(=CC=C1)CC
dibutyl ether,353,17.31,CCCCOCCCC
butyl decanoate,323,25.9,CCCCCCCCCC(=O)OCCCC
"ethyl 3,3-dimethylglutarate",288,30.11,CCOC(=O)CC(C)(C)CC(=O)OCC
ethyl myristate,328,26.23,CCCCCCCCCCCCCC(=O)OCC
2-butanone ketazine,353,20.77,CCC(=NN=C(C)CC)C
3-(dibutylamino)-propionitrile,333,25.84,CCCCN(CCCC)CCC#N
triethylene glycol,333,42.05,C(COCCOCCO)O
1-bromo-4-chloro-benzene,363,31.01,C1=CC(=CC=C1Cl)Br
methyl undecenoate,323,27.13,COC(=O)CCCCCCCCC=C
4-methyl-pyridine,313,29.57,CC1=CC=NC=C1
3-Iodopropene,313,29.22,C=CCI
tert-butylbenzene,333,24.19,CC(C)(C)C1=CC=CC=C1
1-iodobutane,303,27.73,CCCCI
"1,2,3-tribromopropane",328,41.02,C(C(CBr)Br)Br
phenyl acetonitrile,333,37.64,C1=CC=C(C=C1)CC#N
dipropyl octylphosphonate,358,23.23,CCCCCCCCP(=O)(OCCC)OCCC
"N,N-dibutylaniline",353,26.68,CCCCN(CCCC)C1=CC=CC=C1
alpha-(o-chlorophenyl)-p-cresol,313,42.15,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)Cl
