name,TempK,Sigma,SMILES
pentachloroethane,358,27.08,C(C(Cl)(Cl)Cl)(Cl)Cl
"1,1-dibutoxyethane",293,24.44,CCCCOC(C)OCCCC
tridecane,303,25.11,CCCCCCCCCCCCC
diisopropylamine,323,16.44,CC(C)NC(C)C
propyl valerate,313,23.8,CCCCC(=O)OCCC
o-hydroxybenzamide,413,40.81,C1=CC=C(C(=C1)C(=O)N)O
hexyl isonicotinate,293,33.46,CCCCCCOC(=O)C1=CC=NC=C1
1-phenyl-2-butanone,313,34.46,CCC(=O)CC1=CC=CC=C1
4-methyl-3-penten-2-one oxime,373,23.73,CC(=CC(=NO)C)C
1-bromododecane,323,28.18,CCCCCCCCCCCCBr
1-chloropentane,313,22.79,CCCCCCl
"1,1-diisobutoxyethane",353,17.08,CC(C)COC(C)OCC(C)C
dimethyl chlorofumarate,343,31.69,COC(=O)C=C(C(=O)OC)Cl
3-pentanone,318,22.65,CCC(=O)CC
propyl hydrocinnamate,293,34.17,CCCOC(=O)CCC1=CC=CC=C1
pyrocatechol,443,33.2,C1=CC=C(C(=C1)O)O
tributyl phosphite,358,20.22,CCCCOP(OCCCC)OCCCC
"2-propyn-1-ol, heptanoate",358,23.52,CCCCCCC(=O)OCC#C
3-ethoxypropionitrile,303,30.53,CCOCCC#N
"2,2,3-trimethylpentane",353,12.92,CCC(C)C(C)(C)C
linalool,353,21.77,CC(=CCCC(C)(C=C)O)C
2-pentanol,313,21.94,CCCC(C)O
benzenesulfonyl chloride,343,37.66,C1=CC=C(C=C1)S(=O)(=O)Cl
diisobutyl carbonate,323,22.53,CC(C)COC(=O)OCC(C)C
glycerol 1-stearate,373,18.64,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
"4-(2,2,6-trimethylcyclohexyl)-2-butanol",323,28.69,CC1CCCC(C1CCC(C)O)(C)C
4-(1-hexylheptyl)-pyridine,358,25.67,CCCCCCC(CCCCCC)C1=CC=NC=C1
1-bromobutane,283,27.58,CCCCBr
butyl valerate,363,19.21,CCCCC(=O)OCCCC
Propyl Sulfate,363,25.59,CCCOS(=O)(=O)[O-]
cyclopentyl methyl ether,333,21.89,COC1CCCC1
methyl isobutyrate,373,14.68,CC(C)C(=O)OC
propyl naphthoate,313,37.71,CCCOC(=O)c1cccc2ccccc12
Paraldehyde,343,20.85,CC1OC(OC(O1)C)C
"2-propyn-1-ol, propionate",333,26.44,CCC(=O)OCC#C
sec-butyl acetate,353,17.29,CCC(C)OC(=O)C
Butyl Cyanoacetate,408,22.99,CCCCOC(=O)CC#N
3-(di-1-pentylamino)-propionitrile,303,27.98,CCCCCN(CCCCC)CCC#N
4-methyl-4-octanol,318,23.64,CCCCC(C)(CCC)O
3-amino-1-propanol,358,41.63,C(CN)CO
pentylbenzene,373,22,CCCCCC1=CC=CC=C1
"N-methyl-2,2-iminodiethanol",358,35.6,CN(CCO)CCO
3-methylhexane,303,18.82,CCCC(C)CC
dimethyl succinate,353,29.47,COC(=O)CCC(=O)OC
3-butyl-pyridine,293,32.48,CCCCC1=CN=CC=C1
1-iodo-3-methylbutane,373,21.22,CC(C)CCI
n-methylaniline,303,36.41,CNC1=CC=CC=C1
"diethyl-1,1-cyclopropanecarboxylic acid",343,26.43,O=C(OCC)C1(C(OCC)=O)CC1
"2,2',2''-nitrilotriethanol",308,46.4,C(CO)N(CCO)CCO
diethyl O-hexanoyl-l-malate,313,28.05,CCOC(=O)CC(O)C(OC(=O)CCCCCC)C(=O)OCC
levo-2-pentyl-2-bromobutyrate,363,22.05,CCCC(C)OC(=O)CCCBr
2-pentylnaphthalene,313,32.93,CCCCCC1=CC2=CC=CC=C2C=C1
butyl bromoacetate,303,30.88,CCCCOC(=O)CBr
hexyl naphthoate,333,33.25,CCCCCCOC(=O)c1cccc2ccccc12
1-fluoro-octane,283,24.97,CCCCCCCCF
m-dimethoxybenzene,353,29.8,COC1=CC(=CC=C1)OC
3-hexanone O-propyloxime,303,23.98,CCCC(=NOCCC)CC
glycerol trinitrate,303,48.23,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
l-pinene,373,18.92,CC1=CC[C@H]2C[C@@H]1C2(C)CÊ
"2,6-dimethylheptane",313,19.22,CC(C)CCCC(C)C
4-propyl-4-heptanol,338,21.85,CCCC(CCC)(CCC)O
1-pentadecene,313,25.57,CCCCCCCCCCCCCC=C
N-Ethyl-N-nitrosoaniline,288,41.71,CCN(C1=CC=CC=C1)N=O
tris(2-methoxyethyl)phosphite,313,31.89,COCCOP(OCCOC)OCCOC
3-methylbutyl acetate,373,16.86,CC(C)CCOC(=O)C
1-nonene,323,20.21,CCCCCCCC=C
anethol,363,28.87,CC=CC1=CC=C(C=C1)OC
nonane,313,20.98,CCCCCCCCC
diethyl benzylmalonate,353,30.25,CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC
heptyl sulfide,303,28.51,CCCCCCCSCCCCCCC
bis(2-propoxyethyl)phosphonate,358,26.64,C(CCOC(C)C)OCP(=O)(OCCCC)OCCCC
"cis-1,3-dimethylcyclohexane",278,24.56,CC1CCCC(C1)C
"2,4-dimethylhexane",313,18.23,CCC(C)CC(C)C
hexyl acetate,283,27.47,CCCCCCOC(=O)C
tripropyl orthophosphate,313,27.29,CCCOP(=O)(OCCC)OCCC
cyclohexyl acetate,303,30.16,CC(=O)OC1CCCCC1
3-methyl-1-pentanol,368,19.42,CCC(C)CCO
2-butene,213,23.84,CC=CC
veratrole,373,28,COC1=CC=CC=C1OC
2-hexanol,328,21.66,CCCCC(C)O
1-propane sulfonyl chloride,318,35.4,CCCS(=O)(=O)Cl
Benzyl Benzoate,293,45.95,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
4-propyl-4-heptanol,318,23.45,CCCC(CCC)(CCC)O
propyl iodoacetate,293,34.44,CCCOC(=O)CI
1-methylcyclohexene,303,25.49,CC1=CCCCC1
m-ethyltoluene,363,21.34,CCC1=CC=CC(=C1)C
2-nitropropane ,323,26.41,CC(C)[N+](=O)[O-]
nicotine,313,36.62,CN1CCCC1C2=CN=CC=C2
isobutyl sulfide,323,22.21,CC(C)CSCC(C)C
isopropyl disulfide,323,25.53,CC(C)SSC(C)C
dipropyl ethylmalonate,363,22.37,CCCOC(=O)C(CC)C(=O)OCCC
dibutyl methylmalonate,353,23.36,CCCCOC(=O)C(C)C(=O)OCCCC
Butyl Acetate,303,24.35,CCCCOC(=O)C
Propyl Cyanoacetate,373,26.61,CCCOC(=O)CC#N
butyl dodecanoate,343,25.64,CCCCCCCCCCCC(=O)OCCCC
"1,1,3-trimethylcyclohexane",293,23.5,CC1CCCC(C1)(C)C
tert-butyl acetate,333,18.08,CC(=O)OC(C)(C)C
phenyl ether,298,26.77,C1=CC=C(C=C1)OC2=CC=CC=C2
1-propanethiol,303,23.56,CCCS
ethyl isobutyrate,363,15.92,CCOC(=O)C(C)C
dimethyl propylmalonate,343,26.1,CCCC(C(=O)OC)C(=O)OC
butyl phenylpropiolate,343,31.57,CCCCOC(=O)C#CC1=CC=CC=C1
methylcyclopentane,293,22.3,CC1CCCC1
3-butenenitrile,363,21.63,C=CCC#N
ethyl acetoacetate,313,30.36,CCOC(=O)CC(=O)C
"methyl 1,1-cyclohexanediacetate",328,32.4,C1CCC(CC1)(CC(=O)OC)CC(=O)O
diethyl benzylmalonate,303,34.24,CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC
1-nonadecene,363,22.92,CCCCCCCCCCCCCCCCCC=C
"methyl 4-methyl-1,1-cyclohexanediacetate",318,31.31,CC1CCC(CC1)(CC(=O)OC)CC(=O)OC
dimethyl dextro-tartrate,353,37.31,COC(=O)C(C(C(=O)OC)O)O
1-chloro-4-iodo-benzene,363,34.54,C1=CC(=CC=C1Cl)I
Methyl butyrate ,343,19.46,CCCC(=O)OC
"N-methyl-2,2-iminodiethanol",338,37,CN(CCO)CCO
benzyl alcohol,363,25.82,C1=CC=C(C=C1)CO
"2,2,4-trimethylhexane",333,17.16,CCC(C)CC(C)(C)C
ethyl 1-naphthaleneacetate,358,34.32,CCOC(=O)CC1=CC=CC2=CC=CC=C21
methyl cis-cinnamate,293,40.17,COC(=O)C=CC1=CC=CC=C1
glycerol trielaidate,373,20.18,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
ethyl trichloroacetate,353,24.39,CCOC(=O)C(Cl)(Cl)Cl
glycerol 1-stearate,403,16.88,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
"ethyl-1,1-cyclopropanecarboxylic acid",353,25.69,CCOC(=O)C1(CC1)
methyl cyclobutane,293,30.79,CC1CCC1
trimethyl orthophosphate,293,37.48,COP(=O)(OC)OC
m-ethyltoluene,313,26.87,CCC1=CC=CC(=C1)C
ethyl cinnamate,363,30.58,CCOC(=O)C=CC1=CC=CC=C1
1-iodo-3-methylbutane,323,25.8,CC(C)CCI
isoxazole,303,34.49,C1=CON=C1
1-iodo-2-methylpropane,323,24.9,CC(C)CI
butyl butylxanthate,298,31.43,CCCCOC(=S)SCCCC
methyl acetoacetate,333,29.32,CC(=O)CC(=O)OC
propyl bromoacetate,343,26.67,CCCOC(=O)CBr
propylcyclopentane,278,26.42,CCCC1CCCC1
isobutylcyclopentane,323,21.99,CC(C)CC1CCCC1
butyl bromoacetate,343,26.92,CCCCOC(=O)CBr
isobutyl formate,283,24.46,CC(C)COC=O
Butyronitrile,343,22.25,CCCC#N
"1,4-dibromobutane",358,33.12,C(CCBr)CBr
diisopentyl adipate,363,24.19,CC(C)CCOC(=O)CCCCC(=O)OCCC(C)C
azine of anisaldehyde,472,28.85,COc1ccc(C=NN=Cc2ccc(OC)cc2)cc1
